x,test_data,pred1,pred2,threshold,seed_0_fixed,seed_1_fixed,seed_2_fixed,seed_3_fixed,seed_4_fixed,seed_0_moving,seed_1_moving,seed_2_moving,seed_3_moving,seed_4_moving
0,2.035337591,2.035337591,2.035337591,1.4,2.035337591,2.035337591,2.035337591,2.035337591,2.035337591,2.035337591,2.035337591,2.035337591,2.035337591,2.035337591
1,2.025140246,2.025140246,2.025140246,1.4,2.025140246,2.025140246,2.025140246,2.025140246,2.025140246,2.025140246,2.025140246,2.025140246,2.025140246,2.025140246
2,2.013326371,2.013326371,2.013326371,1.4,2.013326371,2.013326371,2.013326371,2.013326371,2.013326371,2.013326371,2.013326371,2.013326371,2.013326371,2.013326371
3,2.013284666,2.013284666,2.013284666,1.4,2.013284666,2.013284666,2.013284666,2.013284666,2.013284666,2.013284666,2.013284666,2.013284666,2.013284666,2.013284666
4,2.000528338,2.000528338,2.000528338,1.4,2.000528338,2.000528338,2.000528338,2.000528338,2.000528338,2.000528338,2.000528338,2.000528338,2.000528338,2.000528338
5,2.013899076,2.013899076,2.013899076,1.4,2.013899076,2.013899076,2.013899076,2.013899076,2.013899076,2.013899076,2.013899076,2.013899076,2.013899076,2.013899076
6,2.013101106,2.013101106,2.013101106,1.4,2.013101106,2.013101106,2.013101106,2.013101106,2.013101106,2.013101106,2.013101106,2.013101106,2.013101106,2.013101106
7,1.968789826,1.968789826,1.968789826,1.4,1.968789826,1.968789826,1.968789826,1.968789826,1.968789826,1.968789826,1.968789826,1.968789826,1.968789826,1.968789826
8,1.968166176,1.968166176,1.968166176,1.4,1.968166176,1.968166176,1.968166176,1.968166176,1.968166176,1.968166176,1.968166176,1.968166176,1.968166176,1.968166176
9,1.957230792,1.957230792,1.957230792,1.4,1.957230792,1.957230792,1.957230792,1.957230792,1.957230792,1.957230792,1.957230792,1.957230792,1.957230792,1.957230792
10,1.945599151,1.945599151,1.945599151,1.4,1.945599151,1.945599151,1.945599151,1.945599151,1.945599151,1.945599151,1.945599151,1.945599151,1.945599151,1.945599151
11,1.934750504,1.934750504,1.934750504,1.4,1.934750504,1.934750504,1.934750504,1.934750504,1.934750504,1.934750504,1.934750504,1.934750504,1.934750504,1.934750504
12,1.923279954,1.923279954,1.923279954,1.4,1.923279954,1.923279954,1.923279954,1.923279954,1.923279954,1.923279954,1.923279954,1.923279954,1.923279954,1.923279954
13,1.911889931,1.911889931,1.911889931,1.4,1.911889931,1.911889931,1.911889931,1.911889931,1.911889931,1.911889931,1.911889931,1.911889931,1.911889931,1.911889931
14,1.901066714,1.901066714,1.901066714,1.4,1.901066714,1.901066714,1.901066714,1.901066714,1.901066714,1.901066714,1.901066714,1.901066714,1.901066714,1.901066714
15,1.889198995,1.889198995,1.889198995,1.4,1.889198995,1.889198995,1.889198995,1.889198995,1.889198995,1.889198995,1.889198995,1.889198995,1.889198995,1.889198995
16,1.878278372,1.878278372,1.878278372,1.4,1.878278372,1.878278372,1.878278372,1.878278372,1.878278372,1.878278372,1.878278372,1.878278372,1.878278372,1.878278372
17,1.867569716,1.901380897,1.901380897,1.4,1.89160347,1.916135311,1.883807063,1.91962719,1.895731449,1.89160347,1.916135311,1.883807063,1.91962719,1.895731449
18,1.867589257,1.886404729,1.886404729,1.4,1.87818861,1.89936316,1.868271589,1.90732491,1.878875375,1.87818861,1.89936316,1.868271589,1.90732491,1.878875375
19,1.979626548,1.882247234,1.881447554,1.4,1.873752356,1.898283005,1.870264292,1.892722011,1.876214504,1.870392561,1.89754045,1.869065762,1.893814325,1.87642467
